attr_value,b_sage_cover,b_shrub_cover,b_forb_cover_arid,b_forb_cover_mesic,b_forb_rich_arid,b_forb_rich_mesic,s_forb_cover_arid,s_forb_cover_mesic,s_forb_cover_meadow,s_forb_rich_arid,s_forb_rich_mesic,s_grass_cover_arid,s_grass_cover_mesic,s_grass_cover_meadow,w_sage_height_big,w_sage_height_low,w_sage_cover_big,w_sage_cover_low,brotec_cover,s_dist_sage_altered,s_dist_sage_unaltered
127,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.776689,1
128,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.773356,1
129,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.770023,1
130,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.76669,1
131,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.763357,1
132,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.760024,1
133,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.756691,1
134,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.753358,1
135,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.750025,1
136,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.746692,1
137,#N/A,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,1,1,#N/A,#N/A,#N/A,0.743359,1
